weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
23.188463,6,"Couple household, with children",127.83837,1,5.4205503,1,2,0,0,0,0,0,0,0,0,0,1,26,5,0,0,0,602
23.188463,6,"Couple household, with children",127.83837,1,5.4205503,1,2,0,0,0,0,0,0,0,0,0,1,25,5,1,0,0,602
23.188463,6,"Couple household, with children",127.83837,1,5.4205503,1,2,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,602
23.188463,6,"Couple household, with children",127.83837,1,5.4205503,1,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,602
27.826157,5,Other household types,320.77908,1,5.2969251,0,7,1,0,0,0,0,0,0,0,0,1,35,7,0,0,0,603
27.826157,5,Other household types,320.77908,1,5.2969251,0,7,1,0,0,0,0,0,0,0,0,1,33,6,1,0,0,603
27.826157,5,Other household types,320.77908,1,5.2969251,0,7,1,0,0,0,0,0,0,0,0,1,5,1,1,0,0,603
27.826157,5,Other household types,320.77908,1,5.2969251,0,7,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,603
27.826157,5,Other household types,294.15018,1,5.4305105,0,7,1,1,30,0,0,0,0,0,0,1,54,10,1,0,0,604
27.826157,5,Other household types,294.15018,1,5.4305105,0,7,1,1,30,0,0,0,0,0,0,1,43,8,1,0,0,604
27.826157,5,Other household types,294.15018,1,5.4305105,0,7,1,1,30,0,0,0,0,0,0,1,20,4,0,0,0,604
27.826157,5,Other household types,294.15018,1,5.4305105,0,7,1,1,30,0,0,0,0,0,0,1,18,3,0,0,0,604
34.782696,4,Three generation household,91.577484,1,4.8718176,1,1,0,1,37.5,0,0,0,0,0,0,1,57,11,1,0,0,605
34.782696,4,Three generation household,91.577484,1,4.8718176,1,1,0,1,37.5,0,0,0,0,0,0,1,36,7,1,0,0,605
34.782696,4,Three generation household,91.577484,1,4.8718176,1,1,0,1,37.5,0,0,0,0,0,0,1,16,3,0,0,0,605
34.782696,4,"Couple household, with no children",280.03836,1,6.1291704,0,6,0,0,0,0,0,0,0,0,0,1,51,10,1,0,0,606
34.782696,4,"Couple household, with no children",280.03836,1,6.1291704,0,6,0,0,0,0,0,0,0,0,0,1,35,7,0,0,0,606
